"Company","Type","Tier","Contact Name","Email","Phone","Website","Vertical","Check Size","Pitch Angle","Next Action","Notes"
"OpenAI","Technology","2","","press@openai.com, sales@openai.com, support@openai.com","1-800-242-8478","https://openai.com","USA","","","Send intro email","HQ: San Francisco, CA; founded 2015"
"Anthropic","Technology","2","","press@anthropic.com, support@anthropic.com, sales@anthropic.com","","https://anthropic.com","USA","","","Send intro email","HQ: San Francisco, CA; AI safety research; founded 2021"
"NVIDIA","Technology","2","","info@nvidia.com, press@nvidia.com","+1 (408) 486-2000","https://www.nvidia.com","USA","","","Send intro email","HQ: Santa Clara, CA; AI accelerators/GPUs"
"Palantir Technologies","Technology","2","","info@palantir.com","+1 720 358 3679","https://www.palantir.com","USA","","","Send intro email","HQ: Denver, CO (regist. 1200 17th St); AI/analytics platforms; NYSE PLTR"
"Perplexity AI","Technology","2","","support@perplexity.ai","+1 510-270-0840","https://www.perplexity.ai","USA","","","Send intro email","HQ: San Francisco, CA (115 Sansome St); AI answer engine"
"Databricks","Technology","2","","press@databricks.com","","https://www.databricks.com","USA","","","Send intro email","HQ: San Francisco, CA (160 Spear St); data/AI platform"
"xAI","Technology","2","","support@x.ai, press@x.ai, api@x.ai","650-543-8116","https://x.ai","USA","","","Send intro email","HQ: Palo Alto, CA (1450 Page Mill Rd); Grok; acquired by SpaceX"
"Hugging Face","Technology","2","","website@huggingface.co, support@huggingface.co","718-913-4927","https://huggingface.co","USA","","","Send intro email","HQ: Brooklyn, NY (20 Jay St); open-source ML platform"
"Midjourney","Technology","2","","billing@midjourney.com, press@midjourney.com","","https://www.midjourney.com","USA","","","Send intro email","HQ: South San Francisco, CA (611 Gateway Blvd); no phone support"
"Meta AI","Technology","2","","ip@fb.com","+1 650 543 4800","https://www.meta.com","USA","","","Send intro email","HQ: Menlo Park, CA (1 Meta Way); ip@fb.com is DMCA designated agent"
"Microsoft AI","Technology","2","","","425-638-7777","https://microsoft.ai","USA","","","Send intro email","HQ: Redmond, WA (One Microsoft Way); Tel (425) 882-8080; media relations 425-638-7777"
"Google DeepMind","Technology","2","","press@deepmind.com, contact@deepmind.com","+44 20 3122 0058","https://deepmind.google","USA","","","Send intro email","Labs: Mountain View, CA + London; Alphabet Google AI research"
"C3.ai","Technology","2","","support@c3.ai, info@c3.ai","650-503-2200","https://c3.ai","USA","","","Send intro email","HQ: Redwood City, CA (1400 Seaport Blvd); enterprise AI"
"Scale AI","Technology","2","","sales@scale.com, press@scale.com, support@scale.com","","https://scale.com","USA","","","Send intro email","HQ: San Francisco, CA; AI training data/agents"
"Groq","Technology","2","","contact@groq.com, pr-media@groq.com","+1 650 880-8283","https://groq.com","USA","","","Send intro email","HQ: Mountain View, CA (301 Castro St); LPU inference; NVIDIA licensing partner"
"Cerebras Systems","Technology","2","","info@cerebras.net","+1 650 933-4980","https://www.cerebras.ai","USA","","","Send intro email","HQ: Sunnyvale, CA (1237 E Arques Ave); wafer-scale AI chips; CBRS"
"SambaNova Systems","Technology","2","","info@sambanova.ai","+1 650 263-1153","https://sambanova.ai","USA","","","Send intro email","HQ: Palo Alto, CA; AI hardware/software"
"Stability AI","Technology","2","","press@stability.ai, support@stability.ai, partners@stability.ai","+44 7340 765559","https://stability.ai","USA","","","Send intro email","US HQ: Los Angeles, CA (10250 Constellation Blvd); stable diffusion"
"ElevenLabs","Technology","2","","legal@elevenlabs.io","+1 917-720-3691","https://elevenlabs.io","USA","","","Send intro email","HQ: New York, NY (169 Madison Ave); AI voice/audio"
"Runway","Technology","2","","support@runwayml.com, press@runwayml.com, sales@runwayml.com","+1 617-369-2759","https://runwayml.com","USA","","","Send intro email","HQ: New York, NY (18 W 18th St); generative video"
"Character.AI","Technology","2","","press@character.ai, support@character.ai, safety@character.ai","+1 408 475-5194","https://character.ai","USA","","","Send intro email","HQ: Menlo Park, CA (700 El Camino Real); conversational AI"
"Anysphere (Cursor)","Technology","2","","hi@cursor.com, founders@anysphere.co","+1 831-425-9504","https://cursor.com","USA","","","Send intro email","HQ: San Francisco, CA (2261 Market St); AI code editor"
"Weights & Biases","Technology","2","","support@wandb.com, partners@wandb.ai","+1 650 649-6147","https://wandb.ai","USA","","","Send intro email","HQ: San Francisco, CA (400 Alabama St); MLOps"
"Glean","Technology","2","","support@glean.com, team@glean.com","+1 650-248-2861","https://www.glean.com","USA","","","Send intro email","HQ: Palo Alto, CA (350 Cambridge Ave); enterprise AI search"
"Harvey","Technology","2","","support@harvey.ai, privacy@harvey.ai","+1 415-579-0539","https://www.harvey.ai","USA","","","Send intro email","HQ: San Francisco, CA (201 3rd St); legal AI"
"Writer","Technology","2","","hello@writer.com, techpartners@writer.com","+1 415 275-1883","https://writer.com","USA","","","Send intro email","HQ: San Francisco, CA (111 Maiden Ln); enterprise GenAI"
