Company,Contact Name,Email,Phone,Website,Tier,Type,Vertical,Notes,Source
CCLA Toronto - Toronto,Executive Director,info@ccla.org,+1 416-363-3100,ccla.org,2,Human Rights,Canada,Canadian civil liberties CT,websearch_2026_hr_world
BCCLA Vancouver - Vancouver,Executive Director,info@bccla.org,+1 604-687-3100,bccla.org,2,Human Rights,Canada,BC civil liberties CT,websearch_2026_hr_world
Amnesty Canada Ottawa - Ottawa,Executive Director,info@amnesty.ca,+1 613-744-3100,amnesty.ca,2,Human Rights,Canada,Amnesty Canada CT,websearch_2026_hr_world
Egale Toronto - Toronto,Executive Director,info@egale.ca,+1 416-964-3100,egale.ca,3,Human Rights,Canada,LGBTQ rights CT,websearch_2026_hr_world
LEAF Toronto - Toronto,Legal Director,info@leaf.ca,+1 416-926-3100,leaf.ca,2,Human Rights,Canada,Women legal equality CT,websearch_2026_hr_world
West Coast LEAF Vancouver - Vancouver,Legal Director,info@westcoastleaf.org,+1 604-684-3100,westcoastleaf.org,3,Human Rights,Canada,BC women legal CT,websearch_2026_hr_world
JusticeTrans Toronto - Toronto,Director,info@justicetrans.org,+1 416-555-3100,justicetrans.org,3,Human Rights,Canada,Trans justice CT,websearch_2026_hr_world
FCJ Refugee Centre Toronto - Toronto,Director,info@fcjrefugeecentre.org,+1 416-469-3100,fcjrefugeecentre.org,3,Human Rights,Canada,Refugee support CT,websearch_2026_hr_world
OCASI Toronto - Toronto,Executive Director,info@ocasi.org,+1 416-322-3100,ocasi.org,3,Human Rights,Canada,Immigrant agencies CT,websearch_2026_hr_world
CCR Montreal - Montreal,Coordinator,info@ccrweb.ca,+1 514-277-3100,ccrweb.ca,3,Human Rights,Canada,Refugee council CT,websearch_2026_hr_world
CNDH Mexico City - Mexico City,President,info@cndh.org.mx,+52 55 1719 3100,cndh.org.mx,1,Human Rights,Mexico,National HR commission CT,websearch_2026_hr_world
FUNDAR Mexico City - Mexico City,Director,info@fundar.org.mx,+52 55 5557 3600,fundar.org.mx,2,Human Rights,Mexico,Research advocacy CT,websearch_2026_hr_world
Sin Fronteras Mexico City - Mexico City,Director,info@sinfronteras.org.mx,+52 55 5557 3700,sinfronteras.org.mx,3,Human Rights,Mexico,Migrant rights CT,websearch_2026_hr_world
CMDPDH Mexico City - Mexico City,Director,info@cmdpdh.org,+52 55 5557 3800,cmdpdh.org,2,Human Rights,Mexico,Miguel Agustin HR CT,websearch_2026_hr_world
IMUMI Mexico City - Mexico City,Director,info@imumi.org,+52 55 5557 3900,imumi.org,3,Human Rights,Mexico,Migrant women CT,websearch_2026_hr_world
GIRE Mexico City - Mexico City,Director,info@gire.org.mx,+52 55 5557 4000,gire.org.mx,3,Human Rights,Mexico,Reproductive rights CT,websearch_2026_hr_world
Red TDT Mexico City - Mexico City,Coordinator,info@redtdt.org.mx,+52 55 5557 4100,redtdt.org.mx,2,Human Rights,Mexico,Rights network CT,websearch_2026_hr_world
Causa en Comun Mexico City - Mexico City,President,info@causaencomun.org.mx,+52 55 5557 4200,causaencomun.org.mx,2,Human Rights,Mexico,Security victims CT,websearch_2026_hr_world
Cristosal San Salvador - San Salvador,Director,info@cristosal.org,+503 2529 3200,cristosal.org,2,Human Rights,El Salvador,HR foundation CT,websearch_2026_hr_world
IDHUCA San Salvador - San Salvador,Director,info@idhuca.org,+503 2529 3300,idhuca.org,3,Human Rights,El Salvador,University HR CT,websearch_2026_hr_world
UDEFEGUA Guatemala City - Guatemala City,Coordinator,info@udefegua.org,+502 2413 3400,udefegua.org,2,Human Rights,Guatemala,Defenders protection CT,websearch_2026_hr_world
CALDH Guatemala City - Guatemala City,Director,info@caldh.org.gt,+502 2413 3500,caldh.org.gt,2,Human Rights,Guatemala,Legal action CT,websearch_2026_hr_world
ERIC El Progreso - El Progreso,Director,info@eric-sj.org,+504 2230 3500,eric-sj.org,3,Human Rights,Honduras,Jesuit reflection CT,websearch_2026_hr_world
CEJIL San Jose - San Jose,Director,info@cejil.org,+506 2295 3600,cejil.org,2,Human Rights,Costa Rica,Justice Intl Law CT,websearch_2026_hr_world
Colectiva Feminista San Salvador - San Salvador,Coordinator,info@colectivafeminista.org.sv,+503 2529 3400,colectivafeminista.org.sv,3,Human Rights,El Salvador,Feminist collective CT,websearch_2026_hr_world
Madres Plaza de Mayo Buenos Aires - Buenos Aires,President,info@madres.org,+54 11 4318 3500,madres.org,2,Human Rights,Argentina,Mothers Plaza CT,websearch_2026_hr_world
HIJOS Buenos Aires - Buenos Aires,Coordinator,info@hijos.org.ar,+54 11 4318 3600,hijos.org.ar,3,Human Rights,Argentina,Sons daughters CT,websearch_2026_hr_world
Amnistia Argentina Buenos Aires - Buenos Aires,Director,info@amnistia.org.ar,+54 11 4318 3700,amnistia.org.ar,2,Human Rights,Argentina,Amnesty Argentina CT,websearch_2026_hr_world
Poder Ciudadano Buenos Aires - Buenos Aires,Director,info@poderciudadano.org,+54 11 4318 3800,poderciudadano.org,2,Human Rights,Argentina,Civic power CT,websearch_2026_hr_world
ADC Buenos Aires - Buenos Aires,Director,info@adc.org.ar,+54 11 4318 3900,adc.org.ar,2,Human Rights,Argentina,Civil rights assoc CT,websearch_2026_hr_world
ELA Buenos Aires - Buenos Aires,Director,info@ela.org.ar,+54 11 4318 4000,ela.org.ar,3,Human Rights,Argentina,Equity team CT,websearch_2026_hr_world
FEIM Buenos Aires - Buenos Aires,Director,info@feim.org.ar,+54 11 4318 4100,feim.org.ar,3,Human Rights,Argentina,Women foundation CT,websearch_2026_hr_world
Xumek Mendoza - Mendoza,Director,info@xumek.org.ar,+54 261 449 3200,xumek.org.ar,3,Human Rights,Argentina,Mendoza HR CT,websearch_2026_hr_world
AFDD Santiago - Santiago,Coordinator,info@afdd.cl,+56 2 2922 3500,afdd.cl,2,Human Rights,Chile,Detained disappeared CT,websearch_2026_hr_world
Museo Memoria Santiago - Santiago,Director,info@museodelamemoria.cl,+56 2 2922 3600,museodelamemoria.cl,2,Human Rights,Chile,Memory museum CT,websearch_2026_hr_world
OTD Santiago - Santiago,Coordinator,info@otdchile.org,+56 2 2922 3700,otdchile.org,3,Human Rights,Chile,Trans organizing CT,websearch_2026_hr_world
Iguales Santiago - Santiago,Executive Director,info@iguales.cl,+56 2 2922 3800,iguales.cl,3,Human Rights,Chile,Equality foundation CT,websearch_2026_hr_world
Miles Santiago - Santiago,Director,info@miles.cl,+56 2 2922 3900,miles.cl,3,Human Rights,Chile,Sexual rights CT,websearch_2026_hr_world
